TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T001,Frontend Dashboard Development,Development,3,"JavaScript,React","[1,2]",2
T002,Backend API Implementation,Development,4,"Python,Django","[2,3,4]",1
T003,Database Design & Setup,Architecture,2,"SQL,PostgreSQL","[1,2]",1
T004,User Authentication System,Development,3,"JavaScript,Python","[2,3]",2
T005,Payment Integration,Development,2,"JavaScript,Node.js","[3,4]",1
T006,Mobile App Development,Development,5,"React Native,TypeScript","[1,2,3]",2
T007,Quality Assurance Testing,Testing,2,"JavaScript,Python","[4,5]",3
T008,DevOps CI/CD Pipeline,DevOps,3,"Docker,AWS,Terraform","[3,4,5]",1
T009,Data Analytics Dashboard,Analytics,4,"Python,SQL,React","[2,3,4]",2
T010,Security Audit,Security,2,"Python,SQL","[4,5]",1
T011,Performance Optimization,Optimization,3,"JavaScript,Python,SQL","[3,4,5]",2
T012,Documentation Writing,Documentation,1,"Technical Writing","[5]",4
T013,Code Review Process,Process,2,"JavaScript,Python","[1,2,3,4,5]",3
T014,Training & Onboarding,Training,2,"Communication,Technical Skills","[1,5]",2
T015,Project Management,Management,6,"Project Management,Communication","[1,2,3,4,5,6]",1
