ClientID,ClientName,PriorityLevel,GroupTag,AttributesJSON
C001,Acme Corporation,5,VIP,"{""industry"":""technology"",""size"":""large"",""revenue"":5000000}"
C002,Beta Systems,4,Premium,"{""industry"":""finance"",""size"":""medium"",""revenue"":2000000}"
C003,Gamma Solutions,3,Standard,"{""industry"":""healthcare"",""size"":""small"",""revenue"":500000}"
C004,Delta Enterprises,2,Standard,"{""industry"":""retail"",""size"":""medium"",""revenue"":1500000}"
C005,Epsilon Tech,1,Basic,"{""industry"":""startup"",""size"":""small"",""revenue"":100000}"
C006,Zeta Industries,5,VIP,"{""industry"":""manufacturing"",""size"":""large"",""revenue"":8000000}"
C007,Eta Consulting,4,Premium,"{""industry"":""consulting"",""size"":""medium"",""revenue"":3000000}"
C008,Theta Corp,3,Standard,"{""industry"":""education"",""size"":""large"",""revenue"":2500000}"
C009,Iota Partners,2,Standard,"{""industry"":""non-profit"",""size"":""small"",""revenue"":200000}"
C010,Kappa Holdings,1,Basic,"{""industry"":""real-estate"",""size"":""medium"",""revenue"":1200000}"
